a,cv,eopt,flagLo,gyo,idcr,lcor,lgrad,lo,lopt,lrio,o,std,yo
0.0003961771912,0.224209882718,11.0,Distancia,119.09336371627148,000499410A,2008.4499776900816,58.2819310987,2524.1231,58.2819310987,626.988904679,0.2,2751.06756935,12270.0548968
0.113534440673,0.470814314719,7.0,Distancia,14.33873446953597,001375608P,1.5893994160138487,21.1650132914,8.8079,11.3772063537,79.598244956,0.2,252.582953657,536.481040955
0.0706045158648,0.329342982357,6.0,Gradiente,2045.5569643551369,000498107A,5.2231281816657562,32.071228147,14.1634,18.6471781643,114.130341085,0.2,38194.4793422,115971.741887
3.39258622628,0.420916692503,3.0,0,0,013753406P,0,13.1037063613,0.294760378455,13.1037063613,39.3111190839,0.2,65.0532723496,154.551419576
0.0205733801035,1.10104610864,36.0,Distancia,40.597726520153827,004979405A,1.6037745913432575,22.6109543572,48.6065,12.1073644742,435.040966554,0.2,1786.69788866,1622.72758121
0.0885182923051,0.896416351956,32.0,Distancia,38.776285304092639,004929913A,0.56235093839821082,31.3740675944,11.2971,15.9682092664,513.41299919,0.2,1927.84365745,2150.61188168
0.10779114388,0.622151387023,8.0,Distancia,10.925182596337079,001371608P,0.95870449428381699,29.9718253083,9.2772,15.4652649013,126.094133965,0.2,360.133051867,578.851159668
5.70886534962,0.131435757238,4.0,0,0,004995305A,0,8.18463451752,0.175166156278,8.18463451752,32.7385380701,0.2,4380.10803358,33325.0869141
0.170791275982,0.476557178288,10.0,Distancia,11.539761228046844,004987405A,1.03125074884083,27.273839087,5.8551,14.1525449179,139.791902202,0.2,265.144805481,556.375640869
0.0122871859395,0.56226767067,3.0,Distancia,106.6076728184939,000001803T,10.29725184636945,13.9469887106,81.3856,13.9469887106,40.0322532079,0.2,1477.87273293,2628.41491699
inf,0.0,1.0,0,0,013753115P,0,26.5590529567,0.0,26.5590529567,26.5590529567,0.2,0.0,115.279281616
inf,0.0,1.0,0,0,001393215P,0,28.8675346591,0.0,28.8675346591,28.8675346591,0.2,0.0,117.288764954
inf,0.0,1.0,0,0,000137608P,0,9.8539489799,0.0,9.8539489799,9.8539489799,0.2,0.0,1618.35205078
6.0570535386,0.0529409472116,3.0,0,0,004979305A,0,10.5068217732,0.165096774137,10.5068217732,31.5204653197,0.2,6933.39226378,130964.643229
4.90076654666,0.123982008702,3.0,0,0,001393615P,0,13.0874700503,0.204049711505,13.0874700503,39.2624101508,0.2,33.5990234613,270.999186198
0.0634372858992,0.320769120478,7.0,Gradiente,2488.1510742431851,000497703A,6.1281627520554132,47.81583886,15.7636,26.9720008061,181.403167453,0.2,67463.0682979,210316.592188
0.0199944015676,0.307988110101,3.0,Distancia,28.910358505848443,000001801T,21.090344771988317,24.4540903318,50.014,22.7722175519,72.5913871797,0.2,384.914215911,1249.7697258
0.000222687505496,0.452765168778,7.0,Distancia,1534.0362532922991,004991508A,876.23000854689462,29.390434032,4490.5977,29.390434032,219.915278882,0.2,36086.0746317,79701.5254709
3.39031500492,0.154450880983,4.0,0,0,013715615P,0,9.16551015583,0.294957842722,9.16551015583,36.6620406233,0.2,38.5800341208,249.78837204
4.03233226904,0.327606996377,4.0,0,0,013771605P,0,7.99721560893,0.247995436209,7.99721560893,31.9888624357,0.2,138.84668454,423.820877075
inf,0.0,1.0,0,0,001315315P,0,14.6053665645,0.0,14.6053665645,14.6053665645,0.2,0.0,915.55255127
0.00380599619477,0.173903708948,2.0,Distancia,734.84743181272302,004995512A,347.51531801053687,37.7807452383,262.7433,37.7807452383,64.9457394609,0.2,8534.96130309,49078.6617188
3.75296006085,0.147170733304,4.0,0,0,004989706A,0,11.1408456736,0.266456339473,11.1408456736,44.5633826945,0.2,1391.44378896,9454.6229248
3.32910828756,0.342097753311,4.0,0,0,013759815P,0,11.8891551116,0.300380736709,11.8891551116,47.5566204463,0.2,124.250411908,363.20148468
0.184362382699,0.265878810679,7.0,Distancia,15.687936153165339,001375408P,3.0691649094098565,24.105123361,5.4241,13.5871441352,96.6162911359,0.2,177.739481872,668.49810791
8.02292657088,0.237860522413,3.0,0,0,004989802A,0,5.93779345837,0.124642796013,5.93779345837,17.8133803751,0.2,291.84505661,1226.95878092
inf,0.0,1.0,0,0,000017903T,0,12.2308144525,0.0,12.2308144525,12.2308144525,0.2,0.0,1295.73791504
4.99783127571,0.184051129886,3.0,0,0,004984405A,0,10.7688162375,0.200086786615,10.7688162375,32.3064487126,0.2,452.532892232,2458.73465983
10.2536228773,0.0167899593404,2.0,0,0,013715408P,0,11.9535571902,0.097526504726,11.9535571902,23.9071143804,0.2,2.641456604,157.32358551
0.0437673154442,0.462711246745,7.0,Distancia,80.342137060209254,000499615A,4.2686443363822741,6.7707814441,22.8481,5.51971289024,40.2930358939,0.2,444.956178278,961.628189087
0.0622161388664,0.510609439114,18.0,Gradiente,17.819361366827465,000013408P,2.4659215627972149,29.5051084321,16.073,15.9855149974,291.946014444,0.2,474.573189895,929.425023397
0.00244431663384,0.724604494197,12.0,Distancia,75.159575628763264,004664910A,31.167393308498152,46.0808837937,409.1123,38.6241385511,476.927138114,0.2,4436.40466569,6122.51883782
inf,0.0,1.0,0,0,000015601T,0,18.451767862,0.0,18.451767862,18.451767862,0.2,0.0,298.806152344
inf,0.0,1.0,0,0,004984805A,0,6.20815881644,0.0,6.20815881644,6.20815881644,0.2,0.0,4342.99609375
0.0880529726684,0.776875136313,19.0,Distancia,27.351301368516324,004991405A,0.75268545650908503,17.9723201262,11.3568,9.36250279137,177.262131148,0.2,675.084868213,868.974738227
0.0425108615251,0.28606934607,4.0,Distancia,57.482894556179573,000013403P,11.497871175868697,38.0740446763,23.5234,24.7859579261,97.8405015179,0.2,1106.78681849,3868.94588216
inf,0.0,1.0,0,0,013757208P,0,11.6086371897,0.0,11.6086371897,11.6086371897,0.2,0.0,88.0084762573
0.0174962820401,0.526283938797,17.0,Distancia,431.12030674018024,004984305A,8.2541809945253348,25.0376249353,57.155,16.6459029649,279.380945862,0.2,10042.3819722,19081.6804996
inf,0.0,1.0,0,0,013771412P,0,21.7207187828,0.0,21.7207187828,21.7207187828,0.2,0.0,161.589920044
7.30851466451,0.0864224632582,2.0,0,0,013777115P,0,28.7687945755,0.136826707738,28.7687945755,57.537589151,0.2,30.7443389893,355.744766235
0.00205329027447,1.53012860885,29.0,Distancia,205.98430140896411,000499205A,8.3205832604863001,26.8789622401,487.0232,17.5997727503,504.813783934,0.2,14976.12879,9787.49675251
inf,0.0,1.0,0,0,000139114P,0,8.69263450292,0.0,8.69263450292,8.69263450292,0.2,0.0,158.770721436
18.4641941603,0.369860558678,9.0,Sin interseccion,1005.1855836214785,004664710A,0.015836295258859871,11.2142949113,0.0541588758934,5.61506560329,50.3345692778,0.2,7370.23365638,19927.0603027
6.62336795566,0.343254672801,4.0,0,0,000131615P,0,14.4237459807,0.150980589738,14.4237459807,57.694983923,0.2,329.964430211,961.281684875
inf,0.0,1.0,0,0,004979203A,0,16.9505835636,0.0,16.9505835636,16.9505835636,0.2,0.0,246410.0
7.35614938816,0.0387357562744,2.0,0,0,004979905A,0,19.2082515728,0.135940686796,19.2082515728,38.4165031457,0.2,7943.53125,205069.734375
0.124848621047,0.19845792905,3.0,Distancia,15.863634316365355,000139415P,8.134658605268438,49.920790601,8.0097,29.0277246031,99.3456044215,0.2,277.829022368,1399.93913923
inf,0.0,1.0,0,0,000137914P,0,14.6403517127,0.0,14.6403517127,14.6403517127,0.2,0.0,93.3408508301
6.52593293113,0.229407491312,3.0,0,0,013715215P,0,6.58653874199,0.153234795784,6.58653874199,19.759616226,0.2,20.3511864058,88.7119522095
10.9494940484,0.165076631307,2.0,0,0,001315608P,0,16.5637320572,0.0913284208004,16.5637320572,33.1274641143,0.2,17.3777008057,105.270507812
inf,0.0,1.0,0,0,137595215P,0,36.6714461742,0.0,36.6714461742,36.6714461742,0.2,0.0,106.352607727
6.59377253683,0.176709649471,4.0,0,0,004989515A,0,9.42684001221,0.151658249419,9.42684001221,37.7073600489,0.2,2029.72430851,11486.2109375
0.00268425461873,0.692979696577,15.0,Distancia,58.323745035838826,000499612A,31.030963553066798,56.8127948298,372.5429,43.9218791914,678.021463417,0.2,4059.16848871,5857.55760054
45.1546018104,0.178452033584,2.0,0,0,004987105A,0,9.15598265208,0.0221461370471,9.15598265208,18.3119653042,0.2,5953.20898438,33360.2753906
2.01226467873,0.863328599925,2.0,0,0,004991207A,0,9.82691047718,0.496952518509,9.82691047718,19.6538209544,0.2,33858.3081055,39218.3325195
12.4770059804,0.147385512729,3.0,0,0,004984705A,0,3.81646770461,0.0801474329318,3.81646770461,11.4494031138,0.2,1880.85431951,12761.4599609
